order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,15,1,28.1,28.1
2,1,58,2,23.16,46.32
3,1,73,2,99.9,199.8
4,1,28,1,98.21,98.21
5,1,24,3,96.84,290.52
6,2,6,1,47.27,47.27
7,2,13,1,230.5,230.5
8,2,28,3,98.21,294.63
9,2,67,1,241.51,241.51
10,2,1,1,49.01,49.01
11,3,13,2,230.5,461.0
12,3,1,1,49.01,49.01
13,3,59,2,143.04,286.08
14,4,82,1,137.6,137.6
15,5,94,1,17.07,17.07
16,6,15,1,28.1,28.1
17,6,62,1,73.1,73.1
18,6,85,2,101.27,202.54
19,6,70,2,64.53,129.06
20,7,69,2,253.24,506.48
21,7,82,1,137.6,137.6
22,8,12,2,210.0,420.0
23,8,15,3,28.1,84.3
24,8,44,2,108.52,217.04
25,9,67,1,241.51,241.51
26,9,85,1,101.27,101.27
27,10,41,1,50.54,50.54
28,10,40,2,16.1,32.2
29,10,65,1,36.27,36.27
30,10,89,1,7.79,7.79
31,10,16,1,15.29,15.29
32,11,63,1,18.63,18.63
33,11,94,3,17.07,51.21
34,12,42,2,185.19,370.38
35,12,97,2,163.05,326.1
36,13,93,2,240.53,481.06
37,13,74,3,15.23,45.69
38,13,14,1,28.77,28.77
39,14,32,1,17.58,17.58
40,14,5,1,57.22,57.22
41,14,16,1,15.29,15.29
42,14,31,1,31.59,31.59
43,15,16,1,15.29,15.29
44,16,24,1,96.84,96.84
45,16,52,1,109.19,109.19
46,16,90,2,165.04,330.08
47,16,3,1,31.12,31.12
48,16,51,1,168.62,168.62
49,17,17,1,42.64,42.64
50,18,38,1,13.31,13.31
51,18,85,2,101.27,202.54
52,18,69,1,253.24,253.24
53,18,57,3,119.96,359.88
54,18,18,1,214.03,214.03
55,19,17,1,42.64,42.64
56,19,94,1,17.07,17.07
57,19,80,1,42.94,42.94
58,20,85,1,101.27,101.27
59,20,83,1,92.79,92.79
60,20,66,3,45.11,135.33
61,20,78,1,71.33,71.33
62,20,21,1,31.11,31.11
63,21,36,1,246.85,246.85
64,21,2,3,286.27,858.81
65,22,22,1,8.68,8.68
66,23,49,2,93.93,187.86
67,23,73,1,99.9,99.9
68,24,40,2,16.1,32.2
69,24,82,3,137.6,412.8
70,25,55,2,195.65,391.3
71,26,32,3,17.58,52.74
72,26,95,2,11.97,23.94
73,26,85,2,101.27,202.54
74,27,64,3,45.06,135.18
75,27,49,1,93.93,93.93
76,27,22,2,8.68,17.36
77,27,48,2,13.88,27.76
78,28,80,1,42.94,42.94
