product_id,sku,product_name,category,price,cost,is_active
1,SKU-0001,"Portable Tool Kit",Garden,49.01,24.81,1
2,SKU-0002,"Premium Monitor",Automotive,286.27,170.44,1
3,SKU-0003,"Lightweight Flashlight",Books,31.12,17.82,1
4,SKU-0004,"Professional Sneakers",Grocery,4.73,2.17,1
5,SKU-0005,"Premium Vitamins",Sports,57.22,30.7,1
6,SKU-0006,"Professional Flashlight",Automotive,47.27,22.89,1
7,SKU-0007,"Lightweight T-Shirt",Toys,92.4,53.81,1
8,SKU-0008,"Smart Cookware Set",Books,16.91,12.68,1
9,SKU-0009,"Eco Case",Toys,104.51,50.71,1
10,SKU-0010,"Advanced Charger",Beauty,24.92,12.25,1
11,SKU-0011,"Premium Monitor",Beauty,66.68,41.95,1
12,SKU-0012,"Pro Vitamins",Sports,210.0,126.91,1
13,SKU-0013,"Classic Wallet",Home,230.5,172.36,1
14,SKU-0014,"Classic Cookware Set",Apparel,28.77,15.73,1
15,SKU-0015,"Professional Water Bottle",Books,28.1,14.91,1
16,SKU-0016,"Eco Yoga Mat",Grocery,15.29,10.32,1
17,SKU-0017,"Standard Tool Kit",Toys,42.64,19.22,1
18,SKU-0018,"Standard Monitor",Home,214.03,147.4,1
19,SKU-0019,"Durable Tool Kit",Books,15.74,10.99,1
20,SKU-0020,"Classic Tool Kit",Automotive,239.67,172.14,1
21,SKU-0021,"Smart Stand",Electronics,31.11,22.67,1
22,SKU-0022,"Compact Charger",Grocery,8.68,5.7,1
23,SKU-0023,"Portable Vitamins",Sports,29.6,16.52,1
24,SKU-0024,"Premium Sunglasses",Apparel,96.84,64.67,1
25,SKU-0025,"Eco Coffee Maker",Books,5.04,2.99,1
26,SKU-0026,"Heavy-Duty Case",Beauty,7.06,4.65,1
27,SKU-0027,"Classic Organizer",Books,7.83,4.42,1
28,SKU-0028,"Smart Desk",Home,98.21,53.01,1
29,SKU-0029,"Classic Backpack",Apparel,83.33,37.71,1
30,SKU-0030,"Advanced Mouse",Grocery,22.73,11.26,1
31,SKU-0031,"Durable Yoga Mat",Grocery,31.59,15.54,1
32,SKU-0032,"Advanced Charger",Books,17.58,8.65,1
33,SKU-0033,"Ultra Novel",Home,196.95,129.42,1
34,SKU-0034,"Durable Pillow",Sports,137.45,69.63,1
35,SKU-0035,"Ultra Tool Kit",Electronics,169.71,88.64,1
36,SKU-0036,"Heavy-Duty Headphones",Home,246.85,180.24,1
37,SKU-0037,"Elite Camera",Automotive,170.71,85.67,1
38,SKU-0038,"Compact Backpack",Home,13.31,6.85,1
39,SKU-0039,"Heavy-Duty Novel",Books,30.14,18.09,1
40,SKU-0040,"Eco Water Bottle",Books,16.1,8.74,1
41,SKU-0041,"Classic Desk",Beauty,50.54,32.36,1
42,SKU-0042,"Pro Charger",Home,185.19,130.36,1
43,SKU-0043,"Elite Lamp",Home,118.81,75.17,1
44,SKU-0044,"Smart Headphones",Apparel,108.52,71.67,1
45,SKU-0045,"Heavy-Duty Pillow",Toys,95.04,63.32,1
46,SKU-0046,"Essential Lamp",Apparel,117.54,53.93,1
47,SKU-0047,"Heavy-Duty Backpack",Sports,65.22,48.43,1
48,SKU-0048,"Standard Flashlight",Grocery,13.88,8.33,1
49,SKU-0049,"Portable Protein Bar",Toys,93.93,67.47,1
50,SKU-0050,"Ultra Flashlight",Home,10.62,7.51,1
51,SKU-0051,"Professional Camera",Electronics,168.62,83.47,1
52,SKU-0052,"Lightweight Wallet",Electronics,109.19,57.27,1
53,SKU-0053,"Essential Backpack",Toys,70.73,34.36,1
54,SKU-0054,"Portable Speaker",Electronics,326.63,243.15,1
55,SKU-0055,"Standard Novel",Home,195.65,106.28,1
56,SKU-0056,"Compact Camera",Grocery,8.62,5.34,1
57,SKU-0057,"Ultra Stand",Automotive,119.96,88.96,1
58,SKU-0058,"Lightweight Cookware Set",Beauty,23.16,16.9,1
59,SKU-0059,"Advanced Headphones",Garden,143.04,64.43,1
60,SKU-0060,"Smart Mouse",Sports,121.26,63.23,1
61,SKU-0061,"Classic Vitamins",Electronics,59.88,43.5,1
62,SKU-0062,"Elite Camera",Garden,73.1,49.3,1
63,SKU-0063,"Classic Sunglasses",Garden,18.63,11.56,1
64,SKU-0064,"Ultra Novel",Apparel,45.06,24.54,1
65,SKU-0065,"Deluxe Case",Toys,36.27,17.13,1
66,SKU-0066,"Smart Water Bottle",Automotive,45.11,26.38,1
67,SKU-0067,"Lightweight Monitor",Home,241.51,123.72,1
68,SKU-0068,"Smart Yoga Mat",Sports,43.1,28.27,1
69,SKU-0069,"Premium Mouse",Automotive,253.24,138.86,1
70,SKU-0070,"Advanced Sunglasses",Beauty,64.53,42.15,1
71,SKU-0071,"Compact Sunglasses",Apparel,129.35,79.78,1
72,SKU-0072,"Standard Coffee Maker",Home,202.94,99.83,1
73,SKU-0073,"Classic Keyboard",Beauty,99.9,56.11,1
74,SKU-0074,"Essential Backpack",Home,15.23,7.15,1
75,SKU-0075,"Classic Yoga Mat",Grocery,31.87,22.27,1
76,SKU-0076,"Standard Moisturizer",Electronics,88.0,54.75,1
77,SKU-0077,"Professional Blender",Books,20.31,11.74,1
78,SKU-0078,"Essential Vitamins",Apparel,71.33,35.28,1
79,SKU-0079,"Ultra Novel",Automotive,157.18,112.36,1
80,SKU-0080,"Essential Watch",Home,42.94,21.89,1
81,SKU-0081,"Ultra Blender",Garden,148.5,101.66,1
82,SKU-0082,"Professional Monitor",Garden,137.6,82.66,1
83,SKU-0083,"Compact Desk",Apparel,92.79,42.57,1
84,SKU-0084,"Premium Organizer",Sports,121.18,82.41,1
85,SKU-0085,"Smart Cookware Set",Apparel,101.27,53.67,1
86,SKU-0086,"Ultra Watch",Electronics,158.05,110.91,1
87,SKU-0087,"Ultra Desk",Apparel,122.48,80.75,1
88,SKU-0088,"Advanced Water Bottle",Electronics,236.17,119.61,1
89,SKU-0089,"Lightweight Board Game",Grocery,7.79,3.59,1
90,SKU-0090,"Ultra Blender",Automotive,165.04,74.3,1
91,SKU-0091,"Classic Chair",Beauty,87.73,63.66,1
92,SKU-0092,"Premium Blender",Toys,21.99,14.54,1
93,SKU-0093,"Heavy-Duty Camera",Home,240.53,135.2,1
94,SKU-0094,"Smart Chair",Books,17.07,8.38,1
95,SKU-0095,"Professional Desk",Books,11.97,8.87,1
96,SKU-0096,"Advanced Speaker",Automotive,204.68,142.12,1
97,SKU-0097,"Classic Jacket",Sports,163.05,119.78,1
98,SKU-0098,"Premium Jacket",Books,29.1,21.14,1
99,SKU-0099,"Smart Tool Kit",Beauty,22.03,14.84,1
100,SKU-0100,"Portable Yoga Mat",Toys,99.49,64.77,1
