order_id,customer_id,order_datetime,billing_zip,shipping_zip,shipping_state,payment_method,device_type,ip_country,promo_used,promo_code,order_subtotal,shipping_fee,tax_amount,order_total,risk_score,is_fraud,fulfilled
1,1,"2025-11-29 00:51:07",28289,28289,CO,card,mobile,US,0,,662.95,15.44,46.3,724.69,38.3,0,1
2,1,"2025-09-01 10:25:59",28289,13888,NY,card,desktop,US,1,SAVE10,862.92,14.74,66.61,944.27,94.9,0,1
3,1,"2025-12-15 07:24:41",28289,28289,CO,card,mobile,US,0,,796.09,14.04,40.72,850.85,53.8,1,1
4,1,"2025-11-06 18:21:19",28289,28289,CO,bank,mobile,US,1,WELCOME,137.6,6.99,11.88,156.47,4.2,0,1
5,1,"2025-11-30 05:34:15",28289,28289,CO,card,mobile,CA,0,,17.07,6.99,1.4,25.46,4.9,0,1
6,1,"2025-12-11 10:04:54",28289,28289,CO,paypal,tablet,NG,0,,432.8,8.39,30.11,471.3,20.7,0,1
7,1,"2025-12-05 11:53:08",28289,28289,CO,paypal,desktop,GB,0,,644.08,7.34,57.48,708.9,51.1,0,1
8,1,"2025-11-13 16:06:51",28289,28289,CO,card,desktop,US,1,SAVE10,721.34,8.74,48.0,778.08,47.3,0,1
9,1,"2025-09-08 01:03:20",28289,80202,NY,bank,tablet,US,0,,342.78,6.99,25.44,375.21,28.4,0,1
10,1,"2025-08-07 07:40:47",28289,28289,CO,card,desktop,US,0,,142.09,8.39,13.28,163.76,7.0,0,1
11,1,"2025-12-21 08:55:12",28289,28289,CO,paypal,desktop,US,0,,69.84,7.69,6.16,83.69,1.4,0,1
12,1,"2025-09-23 15:06:50",28289,47098,WA,paypal,mobile,US,0,,696.48,7.69,64.12,768.29,83.8,0,1
13,1,"2025-11-21 20:00:56",28289,28289,CO,bank,mobile,US,1,SAVE10,555.52,26.39,38.45,620.36,23.2,0,1
14,1,"2025-08-01 11:30:13",28289,28289,CO,paypal,desktop,IN,0,,121.68,13.69,10.33,145.7,12.2,0,1
15,1,"2025-12-24 15:20:03",28289,28289,CO,card,desktop,US,1,SAVE10,15.29,6.99,1.12,23.4,2.0,0,1
16,1,"2025-09-22 06:00:37",28289,28289,CO,paypal,mobile,US,1,SAVE10,735.85,8.39,60.43,804.67,73.6,0,1
17,1,"2025-08-13 18:35:01",28289,28289,CO,paypal,mobile,US,0,,42.64,6.99,2.3,51.93,4.1,0,1
18,1,"2025-08-12 00:21:23",28289,28289,CO,bank,mobile,US,0,,1043.0,9.09,62.0,1114.09,86.7,1,1
19,1,"2025-08-06 04:50:43",28289,28289,CO,paypal,tablet,US,1,WELCOME,102.65,7.34,5.89,115.88,6.2,0,1
20,1,"2025-07-23 09:27:07",28289,28289,CO,card,desktop,US,0,,431.83,8.74,23.1,463.67,25.3,0,1
21,1,"2025-09-11 15:32:42",28289,28289,CO,card,mobile,US,0,,1105.66,7.69,102.64,1215.99,95.2,0,1
22,1,"2025-07-28 05:52:44",28289,28289,CO,paypal,desktop,US,0,,8.68,12.99,0.5,22.17,2.7,0,1
23,1,"2025-10-10 06:57:54",28289,28289,CO,card,desktop,US,0,,287.76,13.34,27.01,328.11,14.7,0,1
24,1,"2025-12-11 17:45:45",28289,28289,CO,card,tablet,US,0,,445.0,8.04,28.51,481.55,14.3,0,1
25,1,"2025-08-10 18:06:38",28289,28289,CO,card,mobile,CA,0,,391.3,12.99,21.97,426.26,55.8,0,1
26,1,"2025-11-06 08:43:53",28289,28289,CO,paypal,mobile,US,0,,279.22,8.74,21.62,309.58,7.9,0,1
27,1,"2026-01-01 04:38:04",28289,28289,CO,card,desktop,US,0,,274.23,15.09,24.3,313.62,5.6,0,1
